1,dynamo1@dym.com,dynamo1,D1,1
2,dynamo2@dym.com,dynamo2,D2,2
3,dynamo3@dym.com,dynamo3,D3,3
4,dynamo4@dym.com,dynamo4,D4,4
5,dynamo5@dym.com,dynamo5,D5,5
6,dynamo6@dym.com,dynamo6,D6,6
7,dynamo7@dym.com,dynamo7,D7,7
8,dynamo8@dym.com,dynamo8,D8,8
9,dynamo9@dym.com,dynamo9,D9,9
10,dynamo10@dym.com,dynamo10,D10,10
11,dynamo11@dym.com,dynamo11,D11,11
12,dynamo12@dym.com,dynamo12,D12,12
13,dynamo13@dym.com,dynamo13,D13,13
14,dynamo14@dym.com,dynamo14,D14,14
15,dynamo15@dym.com,dynamo15,D15,15
16,dynamo16@dym.com,dynamo16,D16,16
17,dynamo17@dym.com,dynamo17,D17,17
18,dynamo18@dym.com,dynamo18,D18,18
19,dynamo19@dym.com,dynamo19,D19,19
20,dynamo20@dym.com,dynamo20,D20,20
,,,,
